no,id,name,play_name,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,year_written,year_premiered,year_printed,year_normalized,average_degree,density,average_clustering,size,max_degree,num_connected_components,diameter,average_path_length
298,ger000574,koller-der-zauberstein,koller-der-zauberstein,Comedy,False,Koller,Der Zauberstein,Eine Posse in einem Aufzuge. Vierte Fortsetzung der beiden Billets,0,goerge,15,0,4,3,1,0,0,409,0,0,5467,5304,302,,,1804,1804.0,2.0,0.6666666666666666,0.5833333333333333,4,3.0,1.0,2.0,1.3333333333333333
305,ger000494,kotzebue-der-wirrwarr,kotzebue-der-wirrwarr,Comedy,False,Kotzebue,"Der Wirrwarr, oder der Muthwillige",Eine Posse in fünf Akten,0,fritz,50,5,10,6,4,0,0,1343,0,0,18601,18022,1608,,1801,1803,1801.0,5.6,0.6222222222222222,0.7920634920634921,10,9.0,1.0,2.0,1.3777777777777778
313,ger000495,kotzebue-pagenstreiche,kotzebue-pagenstreiche,Comedy,False,Kotzebue,Pagenstreiche,Eine Posse in fünf Aufzügen,0,deborah|baron,66,5,16,11,5,0,0,1391,69,0,22205,21227,2353,,1803,1804,1803.0,11.875,0.7916666666666666,0.8683441558441559,16,15.0,1.0,2.0,1.2083333333333333
331,ger000069,laufs-jacoby-pension-schoeller,laufs-jacoby-pension-schoeller,Comedy,False,Laufs,Pension Schöller,Posse in drei Aufzügen,1,kissling,36,3,20,13,7,0,0,919,0,3,15730,15376,1970,,1890,1890,1890.0,10.8,0.5684210526315789,0.8365715656892126,20,18.0,1.0,3.0,1.4526315789473685
363,ger000044,malss-die-jungfern-koechinnen,malss-die-jungfern-koechinnen,Comedy,False,Malß,Die Jungfern Köchinnen,Lokalposse in einem Akt,0,madame_hammel,28,0,11,4,7,0,0,452,8,0,9681,9309,952,,1835,1836,1835.0,8.363636363636363,0.8363636363636363,0.890909090909091,11,10.0,1.0,2.0,1.1636363636363636
382,ger000341,nestroy-das-haus-der-temperamente,nestroy-das-haus-der-temperamente,Comedy,False,Nestroy,Das Haus der Temperamente,Posse mit Gesang in zwei Akten,0,schlankel,605,2,43,24,16,3,3,1587,145,2,28851,26657,6975,1837,1837,1891,1837.0,7.674418604651163,0.18272425249169436,0.6912222134877224,43,23.0,3.0,5.0,2.401219512195122
383,ger000200,nestroy-das-maedl-aus-der-vorstadt,nestroy-das-maedl-aus-der-vorstadt,Comedy,False,Nestroy,Das Mädl aus der Vorstadt oder Ehrlich währt am längsten,Posse in drei Aufzügen,0,schnoferl,60,3,15,6,7,2,2,1110,182,2,20948,20308,2566,1841,1841,1845,1841.0,7.6,0.5428571428571428,0.8088888888888889,15,12.0,1.0,3.0,1.6095238095238096
384,ger000062,nestroy-der-boese-geist-lumpazivagabundus,nestroy-der-boese-geist-lumpazivagabundus,Comedy,False,Nestroy,Der böse Geist Lumpazivagabundus oder Das liederliche Kleeblatt,Zauberposse mit Gesang in drei Aufzügen,0,zwirn,44,3,51,29,13,9,0,765,214,5,14521,13922,2040,1833,1833,1835,1833.0,8.235294117647058,0.16470588235294117,0.8234796234565553,51,39.0,1.0,4.0,2.0823529411764707
385,ger000083,nestroy-der-talisman,nestroy-der-talisman,Comedy,False,Nestroy,Der Talisman,Posse mit Gesang in drei Aufzügen,0,flora|titus,71,3,30,16,7,7,0,880,301,2,20658,19954,2862,1840,1843,1843,1843.0,6.733333333333333,0.23218390804597702,0.8139911722264662,30,17.0,2.0,5.0,2.2118226600985222
386,ger000117,nestroy-der-unbedeutende,nestroy-der-unbedeutende,Comedy,False,Nestroy,Der Unbedeutende,Posse mit Gesang in drei Akten,0,peter,69,3,36,24,10,2,2,992,196,3,19278,18215,3589,,1846,1849,1846.0,15.666666666666666,0.44761904761904764,0.822381140136172,36,29.0,1.0,4.0,1.6873015873015873
387,ger000366,nestroy-der-zerrissene,nestroy-der-zerrissene,Comedy,False,Nestroy,Der Zerrissene,Posse mit Gesang in drei Aufzügen,0,kathi,48,3,21,18,2,1,0,866,120,2,17229,16546,3169,1844,1844,1845,1844.0,7.619047619047619,0.38095238095238093,0.8486517450803165,21,16.0,1.0,3.0,1.7619047619047619
388,ger000206,nestroy-einen-jux-will-er-sich-machen,nestroy-einen-jux-will-er-sich-machen,Comedy,False,Nestroy,Einen Jux will er sich machen,Posse mit Gesang in vier Aufzügen,0,christoph,63,4,22,14,7,1,1,1215,112,3,21843,20868,4255,1842,1842,1844,1842.0,8.818181818181818,0.4199134199134199,0.7883756153000454,22,19.0,1.0,3.0,1.6103896103896105
389,ger000305,nestroy-eulenspiegel,nestroy-eulenspiegel,Comedy,False,Nestroy,Eulenspiegel oder Schabernack über Schabernack,Posse mit Gesang in vier Akten,0,mehlwurm|nelkenstein,81,4,19,13,5,1,3,896,181,2,16541,15683,3133,,1835,1839,1835.0,8.526315789473685,0.47368421052631576,0.7548191574507362,19,14.0,1.0,3.0,1.5730994152046784
390,ger000131,nestroy-freiheit-in-kraehwinkel,nestroy-freiheit-in-kraehwinkel,Comedy,False,Nestroy,Freiheit in Krähwinkel,Posse mit Gesang in zwei Abteilungen und drei Aufzügen,0,ultra,66,3,34,15,12,7,9,760,201,3,14346,13424,2310,1848,1848,1849,1848.0,10.117647058823529,0.3065953654188948,0.7510164419242912,34,22.0,1.0,3.0,1.8163992869875223
392,ger000028,nestroy-zu-ebener-erde-und-erster-stock,nestroy-zu-ebener-erde-und-erster-stock,Comedy,False,Nestroy,Zu ebener Erde und erster Stock oder Die Launen des Glückes,Lokalposse mit Gesang in drei Aufzügen,0,zins,233,3,39,29,8,2,0,1030,216,2,20286,18575,3923,,1835,1838,1835.0,7.846153846153846,0.20647773279352227,0.8415975594708627,39,18.0,1.0,4.0,2.2361673414304994
397,ger000353,niebergall-datterich,niebergall-datterich,Comedy,False,Niebergall,Datterich,Localposse in der Mundart der Darmstädter in sechs Bildern,0,datterich,48,6,21,17,4,0,0,853,18,1,19274,18806,1717,,1862,1841,1841.0,7.142857142857143,0.35714285714285715,0.7584905487161124,21,20.0,1.0,2.0,1.6428571428571428
409,ger000116,raimund-der-barometermacher-auf-der-zauberinsel,raimund-der-barometermacher-auf-der-zauberinsel,Comedy,False,Raimund,Der Barometermacher auf der Zauberinsel,Zauberposse mit Gesang und Tanz in zwei Aufzügen als Parodie des Märchens: Prinz Tutu,0,quecksilber,42,2,26,12,7,7,9,533,262,1,13852,13192,1939,1823,1823,1837,1823.0,4.923076923076923,0.19692307692307692,0.8241717346980505,26,19.0,1.0,4.0,2.0646153846153847
497,ger000503,sessa-unser-verkehr,sessa-unser-verkehr,Comedy,False,Sessa,Unser Verkehr,Eine Posse in einem Akte,0,jakob,23,0,16,11,3,2,2,452,0,0,7990,7759,852,,1813,1815,1813.0,6.0,0.4,0.7427895021645022,16,15.0,1.0,2.0,1.6
499,ger000590,sievers-die-schatzgraeber,sievers-die-schatzgraeber,Comedy,False,Sievers,Die Schatzgräber,Posse in einem Aufzuge. Fortsetzung der beiden Billets,0,several characters,9,0,6,5,1,0,1,334,0,0,7709,7426,774,,,1807,1807.0,5.0,1.0,1.0,6,5.0,1.0,1.0,1.0
502,ger000526,solbrig-die-dorfschule,solbrig-die-dorfschule,Comedy,False,Solbrig,Die Dorfschule,Eine charakteristische Posse in einem Akte,0,several characters,2,0,9,9,0,0,0,182,4,0,3599,3523,267,,1812,1819,1812.0,8.0,1.0,1.0,9,8.0,1.0,1.0,1.0
